creating data_dir: /home/charles/icyChessZero/config/../data/history_selfplays/2022-11-20_04-00-12
train sample number: 10095
latest network : 2022-11-19_08-00-12_noup
0
[None, 10, 9, 128]
[None, 10, 9, 128]
[None, 10, 9, 128]
[None, 10, 9, 128]
[None, 10, 9, 128]
[None, 10, 9, 128]
[None, 10, 9, 128]
inside res net [None, 10, 9, 128]

EPOCH 1 STEP 1 LR 0.01 ACC 14.45 policy_loss 3.0899999141693115 value_loss 1.0 total loss 4.119999885559082 0.08 % [>--------------------------------------------------] 8/10095 	 used:1s eta:2350 s
EPOCH 1 STEP 2 LR 0.01 ACC 14.54 policy_loss 3.09 value_loss 1.0 total loss 4.12 0.12 % [>--------------------------------------------------] 12/10095 	 used:1s eta:1585 s
EPOCH 1 STEP 3 LR 0.01 ACC 14.65 policy_loss 3.09 value_loss 0.99 total loss 4.11 0.18 % [>--------------------------------------------------] 18/10095 	 used:1s eta:1067 s
EPOCH 1 STEP 4 LR 0.01 ACC 14.77 policy_loss 3.09 value_loss 0.99 total loss 4.1 0.20 % [>--------------------------------------------------] 20/10095 	 used:1s eta:967 s
EPOCH 1 STEP 5 LR 0.01 ACC 14.89 policy_loss 3.08 value_loss 0.97 total loss 4.09 0.21 % [>--------------------------------------------------] 21/10095 	 used:1s eta:927 s
EPOCH 1 STEP 6 LR 0.01 ACC 15.14 policy_loss 3.08 value_loss 0.97 total loss 4.08 0.23 % [>--------------------------------------------------] 23/10095 	 used:1s eta:852 s
EPOCH 1 STEP 7 LR 0.01 ACC 15.28 policy_loss 3.07 value_loss 0.96 total loss 4.06 0.25 % [>--------------------------------------------------] 25/10095 	 used:1s eta:789 s
EPOCH 1 STEP 8 LR 0.01 ACC 15.47 policy_loss 3.06 value_loss 0.95 total loss 4.04 0.32 % [>--------------------------------------------------] 32/10095 	 used:1s eta:621 s
EPOCH 1 STEP 9 LR 0.01 ACC 15.54 policy_loss 3.06 value_loss 0.95 total loss 4.03 0.38 % [>--------------------------------------------------] 38/10095 	 used:1s eta:526 s
EPOCH 1 STEP 10 LR 0.01 ACC 15.66 policy_loss 3.05 value_loss 0.94 total loss 4.02 0.40 % [>--------------------------------------------------] 40/10095 	 used:2s eta:503 s
EPOCH 1 STEP 11 LR 0.01 ACC 15.98 policy_loss 3.03 value_loss 0.95 total loss 4.01 0.40 % [>--------------------------------------------------] 40/10095 	 used:2s eta:506 s
EPOCH 1 STEP 12 LR 0.01 ACC 16.14 policy_loss 3.02 value_loss 0.93 total loss 3.98 0.42 % [>--------------------------------------------------] 42/10095 	 used:2s eta:485 s
EPOCH 1 STEP 13 LR 0.01 ACC 16.28 policy_loss 3.02 value_loss 0.93 total loss 3.98 0.45 % [>--------------------------------------------------] 45/10095 	 used:2s eta:455 s
EPOCH 1 STEP 14 LR 0.01 ACC 16.29 policy_loss 3.01 value_loss 0.92 total loss 3.97 0.47 % [>--------------------------------------------------] 47/10095 	 used:2s eta:439 s
EPOCH 1 STEP 15 LR 0.01 ACC 16.39 policy_loss 3.01 value_loss 0.94 total loss 3.97 0.49 % [>--------------------------------------------------] 49/10095 	 used:2s eta:423 s
EPOCH 1 STEP 16 LR 0.01 ACC 16.36 policy_loss 3.01 value_loss 0.93 total loss 3.97 0.54 % [>--------------------------------------------------] 55/10095 	 used:2s eta:379 s
EPOCH 1 STEP 17 LR 0.01 ACC 16.33 policy_loss 3.01 value_loss 0.92 total loss 3.96 0.56 % [>--------------------------------------------------] 57/10095 	 used:2s eta:368 s
EPOCH 1 STEP 18 LR 0.01 ACC 16.38 policy_loss 3.01 value_loss 0.92 total loss 3.95 0.60 % [>--------------------------------------------------] 61/10095 	 used:2s eta:346 s
EPOCH 1 STEP 19 LR 0.01 ACC 16.44 policy_loss 3.0 value_loss 0.9 total loss 3.93 0.63 % [>--------------------------------------------------] 64/10095 	 used:2s eta:332 s
EPOCH 1 STEP 20 LR 0.01 ACC 16.64 policy_loss 3.0 value_loss 0.91 total loss 3.94 0.69 % [>--------------------------------------------------] 70/10095 	 used:2s eta:305 s
EPOCH 1 STEP 21 LR 0.01 ACC 16.47 policy_loss 3.0 value_loss 0.9 total loss 3.93 0.74 % [>--------------------------------------------------] 75/10095 	 used:2s eta:286 s
EPOCH 1 STEP 22 LR 0.01 ACC 16.47 policy_loss 3.0 value_loss 0.89 total loss 3.93 0.77 % [>--------------------------------------------------] 78/10095 	 used:2s eta:277 s
EPOCH 1 STEP 23 LR 0.01 ACC 16.52 policy_loss 3.0 value_loss 0.9 total loss 3.93 0.82 % [>--------------------------------------------------] 83/10095 	 used:2s eta:261 s
EPOCH 1 STEP 24 LR 0.01 ACC 16.43 policy_loss 3.01 value_loss 0.9 total loss 3.94 0.86 % [>--------------------------------------------------] 87/10095 	 used:2s eta:251 s
EPOCH 1 STEP 25 LR 0.01 ACC 16.43 policy_loss 3.01 value_loss 0.89 total loss 3.93 0.91 % [>--------------------------------------------------] 92/10095 	 used:2s eta:238 s
EPOCH 1 STEP 26 LR 0.01 ACC 16.36 policy_loss 3.01 value_loss 0.9 total loss 3.94 0.95 % [>--------------------------------------------------] 96/10095 	 used:2s eta:230 s
EPOCH 1 STEP 27 LR 0.01 ACC 16.46 policy_loss 3.01 value_loss 0.88 total loss 3.92 0.98 % [>--------------------------------------------------] 99/10095 	 used:2s eta:224 s
EPOCH 1 STEP 28 LR 0.01 ACC 16.6 policy_loss 3.0 value_loss 0.88 total loss 3.91 1.01 % [>--------------------------------------------------] 102/10095 	 used:2s eta:219 s
